date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2023-02-06,sh.600000,7.2500,7.2500,7.2100,7.2500,7.2700,22786780,164745210.2300,3,0.077600,1,-0.275100,0
2023-02-07,sh.600000,7.2700,7.2700,7.2200,7.2400,7.2500,15481821,112169271.3200,3,0.052700,1,-0.137900,0
2023-02-08,sh.600000,7.2400,7.2700,7.2200,7.2300,7.2400,13095025,94770356.7600,3,0.044600,1,-0.138100,0
2023-02-09,sh.600000,7.2300,7.2800,7.2200,7.2600,7.2300,10895965,79099151.1900,3,0.037100,1,0.414900,0
2023-02-10,sh.600000,7.2500,7.2700,7.2200,7.2400,7.2600,11944106,86527412.0800,3,0.040700,1,-0.275500,0
2023-02-13,sh.600000,7.2200,7.2600,7.1800,7.2300,7.2400,20449779,147742689.0200,3,0.069700,1,-0.138100,0
2023-02-14,sh.600000,7.2400,7.2600,7.2300,7.2400,7.2300,11929853,86373390.4700,3,0.040600,1,0.138300,0
2023-02-15,sh.600000,7.2400,7.2500,7.1900,7.2000,7.2400,15467693,111509087.5600,3,0.052700,1,-0.552500,0
2023-02-16,sh.600000,7.2100,7.2600,7.1800,7.1900,7.2000,18798353,135881168.8200,3,0.064000,1,-0.138900,0
2023-02-17,sh.600000,7.1900,7.2200,7.1300,7.1300,7.1900,21148914,151882567.4900,3,0.072100,1,-0.834500,0
2023-02-20,sh.600000,7.1600,7.2700,7.1500,7.2600,7.1300,25613504,184902604.4900,3,0.087300,1,1.823300,0
2023-02-21,sh.600000,7.2600,7.3000,7.2300,7.2900,7.2600,16234446,118094160.8000,3,0.055300,1,0.413200,0
2023-02-22,sh.600000,7.2800,7.2900,7.2400,7.2400,7.2900,12971392,94204601.1700,3,0.044200,1,-0.685900,0
2023-02-23,sh.600000,7.2500,7.2800,7.2300,7.2300,7.2400,11436536,82898811.5600,3,0.039000,1,-0.138100,0
2023-02-24,sh.600000,7.2200,7.2600,7.1800,7.1800,7.2300,16681114,120124647.8800,3,0.056800,1,-0.691600,0
2023-02-27,sh.600000,7.1600,7.2000,7.1600,7.1600,7.1800,15800639,113363321.6700,3,0.053800,1,-0.278600,0
2023-02-28,sh.600000,7.1800,7.2000,7.1400,7.1800,7.1600,17448100,125100407.8900,3,0.059400,1,0.279300,0
2023-03-01,sh.600000,7.1700,7.2700,7.1700,7.2600,7.1800,25661325,185861461.9700,3,0.087400,1,1.114200,0
2023-03-02,sh.600000,7.2300,7.2900,7.2300,7.2700,7.2600,17070002,124094304.5300,3,0.058200,1,0.137700,0
2023-03-03,sh.600000,7.2900,7.3600,7.2600,7.3500,7.2700,31094168,227583047.8900,3,0.105900,1,1.100400,0
2023-03-06,sh.600000,7.3500,7.3700,7.3100,7.3300,7.3500,24939950,182971731.4300,3,0.085000,1,-0.272100,0
2023-03-07,sh.600000,7.3200,7.4600,7.3000,7.3100,7.3300,56642781,417960791.2600,3,0.193000,1,-0.272900,0
2023-03-08,sh.600000,7.3000,7.3200,7.2500,7.3100,7.3100,19059038,138757482.3000,3,0.064900,1,0.000000,0
2023-03-09,sh.600000,7.3100,7.3400,7.2500,7.2700,7.3100,18993344,138470614.8900,3,0.064700,1,-0.547200,0
2023-03-10,sh.600000,7.2400,7.2600,7.1500,7.1500,7.2700,27843826,200486041.8900,3,0.094900,1,-1.650600,0
2023-03-13,sh.600000,7.0500,7.0900,7.0300,7.0600,7.1500,51314997,362230489.5700,3,0.174800,1,-1.258700,0
2023-03-14,sh.600000,7.0600,7.0700,7.0000,7.0200,7.0600,32453388,228164817.7600,3,0.110600,1,-0.566600,0
2023-03-15,sh.600000,7.0700,7.1000,7.0600,7.0800,7.0200,25072976,177677434.5100,3,0.085400,1,0.854700,0
2023-03-16,sh.600000,7.0800,7.1700,7.0500,7.1200,7.0800,28501314,203051783.7600,3,0.097100,1,0.565000,0
2023-03-17,sh.600000,7.1400,7.2200,7.1000,7.1100,7.1200,36328142,260022747.7100,3,0.123800,1,-0.140400,0
2023-03-20,sh.600000,7.1000,7.2200,7.1000,7.1300,7.1100,26292154,188546315.8400,3,0.089600,1,0.281300,0
2023-03-21,sh.600000,7.1600,7.2000,7.1300,7.1300,7.1300,18977675,135798122.4600,3,0.064700,1,0.000000,0
2023-03-22,sh.600000,7.1500,7.1900,7.1400,7.1800,7.1300,16988375,121799288.5900,3,0.057900,1,0.701300,0
2023-03-23,sh.600000,7.1500,7.2200,7.1400,7.2100,7.1800,21506296,154656983.1700,3,0.073300,1,0.417800,0
2023-03-24,sh.600000,7.1900,7.2500,7.1800,7.2100,7.2100,25687826,185477855.9900,3,0.087500,1,0.000000,0
2023-03-27,sh.600000,7.2300,7.2300,7.1500,7.1500,7.2100,19141397,137294385.8200,3,0.065200,1,-0.832200,0
2023-03-28,sh.600000,7.1600,7.1900,7.1400,7.1800,7.1500,16641290,119293208.8100,3,0.056700,1,0.419600,0
2023-03-29,sh.600000,7.2300,7.2300,7.1600,7.1600,7.1800,12685806,91087594.0900,3,0.043200,1,-0.278600,0
2023-03-30,sh.600000,7.1800,7.2100,7.1200,7.1900,7.1600,22504756,161359032.2500,3,0.076700,1,0.419000,0
2023-03-31,sh.600000,7.1900,7.2400,7.1700,7.1900,7.1900,20048925,144423997.5500,3,0.068300,1,0.000000,0
2023-04-03,sh.600000,7.1900,7.2100,7.1600,7.1900,7.1900,20246596,145394355.6700,3,0.069000,1,0.000000,0
