指数代码	指数简称	指数全称	发布日期	退市日期	指数行情	指数权重	指数成分
000035.XSHG	上证可选	上证可选消费行业指数	2009-01-09	0000-00-00	有	有	有
000036.XSHG	上证消费	上证主要消费行业指数	2009-01-09	0000-00-00	有	有	有
000037.XSHG	上证医药	上证医药卫生行业指数	2009-01-09	0000-00-00	有	有	有
000038.XSHG	上证金融	上证金融地产行业指数	2009-01-09	0000-00-00	有	有	有
000039.XSHG	上证信息	上证信息技术行业指数	2009-01-09	0000-00-00	有	有	有
000040.XSHG	上证电信	上证电信业务行业指数	2009-01-09	0000-00-00	有	有	有
000041.XSHG	上证公用	上证公用事业行业指数	2009-01-09	0000-00-00	有	有	有
000042.XSHG	上证央企	上证中央企业50指数	2009-03-30	0000-00-00	有	有	有
000043.XSHG	超大盘	上证超级大盘指数	2009-04-23	0000-00-00	有	有	有
000044.XSHG	上证中盘	上证中盘指数	2009-07-03	0000-00-00	有	有	有
000045.XSHG	上证小盘	上证小盘指数	2009-07-03	0000-00-00	有	有	有
000046.XSHG	上证中小	上证中小盘指数	2009-07-03	0000-00-00	有	有	有
000047.XSHG	上证全指	上证大中小盘指数	2009-07-03	0000-00-00	有	有	有
000048.XSHG	责任指数	上证社会责任指数	2009-08-05	0000-00-00	有	有	有
000049.XSHG	上证民企	上证民营企业50指数	2009-08-25	0000-00-00	有	有	有
000050.XSHG	50等权	上证50等权重指数	2011-01-04	0000-00-00	有	有	有
000051.XSHG	180等权	上证180等权重指数	2011-05-24	0000-00-00	有	有	有
000052.XSHG	50基本	上证50基本面加权指数	2012-01-09	0000-00-00	有	有	有
000053.XSHG	180基本	上证180基本面加权指数	2012-01-09	0000-00-00	有	有	有
000054.XSHG	上证海外	上证海外上市A股指数	2010-01-04	0000-00-00	有	有	有
000055.XSHG	上证地企	上证地方国有企业50指数	2010-01-04	0000-00-00	有	有	有
000056.XSHG	上证国企	上证国有企业100指数	2010-01-04	0000-00-00	有	有	有
000057.XSHG	全指成长	上证全指成长指数	2010-01-04	0000-00-00	有	有	有
000058.XSHG	全指价值	上证全指价值指数	2010-01-04	0000-00-00	有	有	有
000059.XSHG	全R成长	上证全指相对成长指数	2010-01-04	0000-00-00	有	有	有
000060.XSHG	全R价值	上证全指相对价值指数	2010-01-04	0000-00-00	有	有	有
000061.XSHG	沪企债30	上证企债30指数	2010-01-04	0000-00-00	有	有	有
000062.XSHG	上证沪企	上证沪企指数	2010-01-04	0000-00-00	有	有	有
000063.XSHG	上证周期	上证周期行业50指数	2010-02-03	0000-00-00	有	有	有
000064.XSHG	非周期	上证非周期行业100指数	2010-02-03	0000-00-00	有	有	有
000065.XSHG	上证龙头	上证龙头企业指数	2010-02-09	0000-00-00	有	有	有
000066.XSHG	上证商品	上证大宗商品股票指数	2010-04-30	0000-00-00	有	有	有
000067.XSHG	上证新兴	上证新兴产业指数	2010-04-30	0000-00-00	有	有	有
000068.XSHG	上证资源	上证自然资源指数	2010-05-28	0000-00-00	有	有	有
000069.XSHG	消费80	上证消费80指数	2010-05-28	0000-00-00	有	有	有
000070.XSHG	能源等权	上证能源行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
000071.XSHG	材料等权	上证原材料行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
000072.XSHG	工业等权	上证工业行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
000073.XSHG	可选等权	上证可选消费行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
000074.XSHG	消费等权	上证主要消费行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
000075.XSHG	医药等权	上证医药卫生行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
000076.XSHG	金融等权	上证金融地产行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
000077.XSHG	信息等权	上证信息技术行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
000078.XSHG	电信等权	上证电信业务行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
000079.XSHG	公用等权	上证公用事业行业分层等权重指数	2010-08-18	0000-00-00	有	有	有
