指数代码	指数简称	指数全称	发布日期	退市日期	指数行情	指数权重	指数成分
399964.XSHE	中证新兴	中证新兴产业指数	2010-04-30	2019-01-28	NA	NA	NA
399965.XSHE	800地产	中证800地产指数	2012-12-21	0000-00-00	有	有	有
399966.XSHE	800证保	中证800证券保险指数	2012-12-21	0000-00-00	有	有	有
399967.XSHE	中证军工	中证军工指数	2013-12-26	0000-00-00	有	有	有
399968.XSHE	300周期	沪深300周期行业指数	2010-05-28	2016-06-03	NA	NA	NA
399969.XSHE	300非周	沪深300非周期行业指数	2010-05-28	2019-01-28	NA	NA	NA
399970.XSHE	移动互联	中证移动互联网指数	2014-05-05	0000-00-00	有	有	有
399971.XSHE	中证传媒	中证传媒指数	2014-04-15	0000-00-00	有	有	有
399972.XSHE	300深市	沪深300深市指数	2012-06-21	0000-00-00	有	有	有
399973.XSHE	中证国防	中证国防指数	2014-04-15	0000-00-00	有	有	有
399974.XSHE	国企改革	中证国有企业改革指数	2014-08-07	0000-00-00	有	有	有
399975.XSHE	证券公司	中证全指证券公司指数	2013-07-15	0000-00-00	有	有	有
399976.XSHE	CS新能车	中证新能源汽车指数	2014-11-28	0000-00-00	有	有	有
399977.XSHE	内地低碳	中证内地低碳经济主题指数	2011-01-21	2019-01-28	NA	NA	NA
399978.XSHE	医药100	中证医药100指数	2011-03-18	2019-01-28	NA	NA	NA
399979.XSHE	大宗商品	中证大宗商品股票指数	2011-08-22	2019-01-28	NA	NA	NA
399980.XSHE	中证超大	中证超级大盘指数	2011-05-10	2016-06-03	NA	NA	NA
399981.XSHE	300分层	沪深300行业分层等权重指数	2011-06-13	2015-04-29	NA	NA	NA
399982.XSHE	500等权	中证500等权重指数	2011-06-13	0000-00-00	有	NA	有
399983.XSHE	地产等权	沪深300地产等权重指数	2013-11-22	0000-00-00	有	有	有
399984.XSHE	300等权	沪深300等权重指数	2011-08-02	2015-04-29	NA	NA	NA
399985.XSHE	中证全指	中证全指指数	2011-08-02	2015-04-07	NA	NA	NA
399986.XSHE	中证银行	中证银行指数	2013-07-15	0000-00-00	有	有	有
399987.XSHE	中证酒	中证酒指数	2014-12-10	0000-00-00	有	有	有
399989.XSHE	中证医疗	中证医疗指数	2014-10-31	0000-00-00	有	有	有
399990.XSHE	煤炭等权	中证煤炭等权指数	2015-01-21	0000-00-00	有	有	有
399991.XSHE	一带一路	中证一带一路主题指数	2015-02-16	0000-00-00	有	有	有
399992.XSHE	CSWD并购	中证万得并购重组指数	2015-05-08	0000-00-00	有	有	有
399993.XSHE	CSWD生科	中证万得生物科技指数	2015-05-08	0000-00-00	有	有	有
399994.XSHE	信息安全	中证信息安全主题指数	2015-03-12	0000-00-00	有	有	有
399995.XSHE	基建工程	中证基建工程指数	2015-03-12	0000-00-00	有	有	有
399996.XSHE	智能家居	中证智能家居指数	2014-09-17	0000-00-00	有	有	有
399997.XSHE	中证白酒	中证白酒指数	2015-01-21	0000-00-00	有	有	有
399998.XSHE	中证煤炭	中证煤炭指数	2015-02-13	0000-00-00	有	有	有
704843.INDX	MSCI中国A股国际	MSCI中国A股国际指数	2014-06-26	0000-00-00	有	NA	NA
716567.INDX	MSCI中国A股国际通(人民币)	MSCI中国A股国际通指数(人民币)	2017-10-23	0000-00-00	有	NA	NA
718708.INDX	MSCI中国A股	MSCI中国A股指数	0000-00-00	0000-00-00	有	NA	NA
718711.INDX	MSCI中国A股人民币	MSCI中国A股人民币指数	2018-03-01	0000-00-00	有	NA	NA
801005.INDX	申万创业板	申银万国指数-创业板	2009-11-06	0000-00-00	有	有	有
801010.INDX	农林牧渔	申银万国指数-农林牧渔	2003-10-15	0000-00-00	有	有	有
801011.INDX	申万林业	申银万国指数-林业	2003-10-15	0000-00-00	有	有	有
801012.INDX	申万农产品加工	申银万国指数-农产品加工	2003-10-15	0000-00-00	有	有	有
801013.INDX	申万农业综合	申银万国指数-农业综合	2003-10-15	0000-00-00	有	有	有
801014.INDX	申万饲料	申银万国指数-饲料	2003-10-15	0000-00-00	有	有	有
801015.INDX	申万渔业	申银万国指数-渔业	2003-10-15	0000-00-00	有	有	有
801016.INDX	申万种植业	申银万国指数-种植业	2003-10-15	0000-00-00	有	有	有
801017.INDX	申万畜禽养殖	申银万国指数-畜禽养殖	2003-10-15	0000-00-00	有	有	有
801018.INDX	申万动物保健	申银万国指数-动物保健	2003-10-15	0000-00-00	有	有	有
801020.INDX	采掘	申银万国指数-采掘	2003-10-15	0000-00-00	有	有	有
801021.INDX	申万煤炭开采	申银万国指数-煤炭开采	2003-10-15	0000-00-00	有	有	有
801022.INDX	申万其他采掘	申银万国指数-其他采掘	2003-10-15	0000-00-00	有	有	有
801023.INDX	申万石油开采	申银万国指数-石油开采	2003-10-15	0000-00-00	有	有	有
801024.INDX	申万采掘服务	申银万国指数-采掘服务	2003-10-15	0000-00-00	有	有	有
801030.INDX	化工	申银万国指数-化工	2003-10-15	0000-00-00	有	有	有
801031.INDX	申万化工新材料	申银万国指数-化工新材料	2003-10-15	0000-00-00	NA	有	有
801032.INDX	申万化学纤维	申银万国指数-化学纤维	2003-10-15	0000-00-00	有	有	有
801033.INDX	申万化学原料	申银万国指数-化学原料	2003-10-15	0000-00-00	有	有	有
801034.INDX	申万化学制品	申银万国指数-化学制品	2003-10-15	0000-00-00	有	有	有
801035.INDX	申万石油化工	申银万国指数-石油化工	2003-10-15	0000-00-00	有	有	有
801036.INDX	申万塑料	申银万国指数-塑料	2003-10-15	0000-00-00	有	有	有
801037.INDX	申万橡胶	申银万国指数-橡胶	2003-10-15	0000-00-00	有	有	有
801040.INDX	钢铁	申银万国指数-钢铁	2003-10-15	0000-00-00	有	有	有
801041.INDX	申万钢铁	申银万国指数-钢铁	2003-10-15	0000-00-00	有	有	有
801042.INDX	申万金属制品	申银万国指数-金属制品	2003-10-15	0000-00-00	NA	NA	NA
801050.INDX	有色金属	申银万国指数-有色金属	2003-10-15	0000-00-00	有	有	有
801051.INDX	申万金属非金属新材料	申银万国指数-金属非金属新材料	2003-10-15	0000-00-00	有	有	有
801052.INDX	申万有色金属冶炼	申银万国指数-有色金属冶炼与加工	2003-10-15	0000-00-00	NA	有	有
801053.INDX	申万黄金	申银万国指数-黄金	2014-02-21	0000-00-00	有	有	有
801054.INDX	申万稀有金属	申银万国指数-稀有金属	2014-02-21	0000-00-00	有	有	有
801055.INDX	申万工业金属	申银万国指数-工业金属	2014-02-21	0000-00-00	有	有	有
801060.INDX	申万建筑建材	申银万国指数-建筑建材	2003-10-15	0000-00-00	NA	有	有
801061.INDX	申万建筑材料	申银万国指数-建筑材料	2003-10-15	0000-00-00	NA	有	有
801062.INDX	申万建筑装饰	申银万国指数-建筑装饰	2003-10-15	0000-00-00	NA	有	有
801070.INDX	申万机械设备	申银万国指数-机械设备	2003-10-15	0000-00-00	NA	有	有
801071.INDX	申万电气设备	申银万国指数-电气设备	2003-10-15	0000-00-00	NA	有	有
801072.INDX	申万通用机械	申银万国指数-通用机械	2003-10-15	0000-00-00	有	有	有
801073.INDX	申万仪器仪表	申银万国指数-仪器仪表	2003-10-15	0000-00-00	有	有	有
801074.INDX	申万专用设备	申银万国指数-专用设备	2003-10-15	0000-00-00	有	有	有
801075.INDX	申万金属制品	申银万国指数-金属制品	2003-10-15	0000-00-00	有	有	有
801076.INDX	申万运输设备	申银万国指数-运输设备	2014-02-21	0000-00-00	有	有	有
801080.INDX	电子	申银万国指数-电子	2003-10-15	0000-00-00	有	有	有
801081.INDX	申万半导体	申银万国指数-半导体	2003-10-15	0000-00-00	有	有	有
801082.INDX	申万其他电子	申银万国指数-其他电子	2003-10-15	0000-00-00	有	有	有
801083.INDX	申万元件	申银万国指数-元件	2003-10-15	0000-00-00	有	有	有
801084.INDX	申万光学光电子	申银万国指数-光学光电子	2003-10-15	0000-00-00	有	有	有
801085.INDX	申万电子制造	申银万国指数-电子制造	2003-10-15	0000-00-00	有	有	有
801090.INDX	申万交运设备	申银万国指数-交运设备	2003-10-15	0000-00-00	NA	有	有
801091.INDX	申万非汽车交运设备	申银万国指数-非汽车交运设备	2003-10-15	0000-00-00	NA	有	有
801092.INDX	申万汽车服务	申银万国指数-汽车服务	2003-10-15	0000-00-00	有	有	有
801093.INDX	申万汽车零部件	申银万国指数-汽车零部件	2003-10-15	0000-00-00	有	有	有
801094.INDX	申万汽车整车	申银万国指数-汽车整车	2003-10-15	0000-00-00	有	有	有
801100.INDX	申万信息设备	申银万国指数-信息设备	2003-10-15	0000-00-00	NA	有	有
801101.INDX	申万计算机设备	申银万国指数-计算机设备	2003-10-15	0000-00-00	有	有	有
801102.INDX	申万通信设备	申银万国指数-通信设备	2003-10-15	0000-00-00	有	有	有
801110.INDX	家用电器	申银万国指数-家用电器	2003-10-15	0000-00-00	有	有	有
801111.INDX	申万白色家电	申银万国指数-白色家电	2003-10-15	0000-00-00	有	有	有
801112.INDX	申万视听器材	申银万国指数-视听器材	2003-10-15	0000-00-00	有	有	有
801120.INDX	食品饮料	申银万国指数-食品饮料	2003-10-15	0000-00-00	有	有	有
801121.INDX	申万食品加工	申银万国指数-食品加工	2003-10-15	0000-00-00	NA	NA	有
801122.INDX	申万食品制造	申银万国指数-食品制造	2003-10-15	0000-00-00	NA	NA	有
801123.INDX	申万饮料制造	申银万国指数-饮料制造	2003-10-15	0000-00-00	有	有	有
801124.INDX	申万食品加工	申银万国指数-食品加工	2003-10-15	0000-00-00	有	有	有
801130.INDX	纺织服装	申银万国指数-纺织服装	2003-10-15	0000-00-00	有	有	有
801131.INDX	申万纺织制造	申银万国指数-纺织制造	2003-10-15	0000-00-00	有	有	有
801132.INDX	申万服装家纺	申银万国指数-服装家纺	2003-10-15	0000-00-00	有	有	有
801140.INDX	轻工制造	申银万国指数-轻工制造	2003-10-15	0000-00-00	有	有	有
801141.INDX	申万包装印刷	申银万国指数-包装印刷	2003-10-15	0000-00-00	有	有	有
801142.INDX	申万家用轻工	申银万国指数-家用轻工	2003-10-15	0000-00-00	有	有	有
801143.INDX	申万造纸	申银万国指数-造纸	2003-10-15	0000-00-00	有	有	有
801144.INDX	申万其他轻工制造	申银万国指数-其他轻工制造	2003-10-15	0000-00-00	有	有	有
801150.INDX	医药生物	申银万国指数-医药生物	2003-10-15	0000-00-00	有	有	有
801151.INDX	申万化学制药	申银万国指数-化学制药	2003-10-15	0000-00-00	有	有	有
801152.INDX	申万生物制品	申银万国指数-生物制品	2003-10-15	0000-00-00	有	有	有
801153.INDX	申万医疗器械	申银万国指数-医疗器械	2003-10-15	0000-00-00	有	有	有
801154.INDX	申万医药商业	申银万国指数-医药商业	2003-10-15	0000-00-00	有	有	有
801155.INDX	申万中药	申银万国指数-中药	2003-10-15	0000-00-00	有	有	有
801156.INDX	申万医疗服务	申银万国指数-医疗服务	2003-10-15	0000-00-00	有	有	有
801160.INDX	公用事业	申银万国指数-公用事业	2003-10-15	0000-00-00	有	有	有
801161.INDX	申万电力	申银万国指数-电力	2003-10-15	0000-00-00	有	有	有
801162.INDX	申万环保工程及服务	申银万国指数-环保工程及服务	2003-10-15	0000-00-00	有	有	有
801163.INDX	申万燃气	申银万国指数-燃气	2003-10-15	0000-00-00	有	有	有
801164.INDX	申万水务	申银万国指数-水务	2003-10-15	0000-00-00	有	有	有
801170.INDX	交通运输	申银万国指数-交通运输	2003-10-15	0000-00-00	有	有	有
801171.INDX	申万港口	申银万国指数-港口	2003-10-15	0000-00-00	有	有	有
801172.INDX	申万公交	申银万国指数-公交	2003-10-15	0000-00-00	有	有	有
801173.INDX	申万航空运输	申银万国指数-航空运输	2003-10-15	0000-00-00	有	有	有
801174.INDX	申万机场	申银万国指数-机场	2003-10-15	0000-00-00	有	有	有
801175.INDX	申万高速公路	申银万国指数-高速公路	2003-10-15	0000-00-00	有	有	有
801176.INDX	申万航运	申银万国指数-航运	2003-10-15	0000-00-00	有	有	有
801177.INDX	申万铁路运输	申银万国指数-铁路运输	2003-10-15	0000-00-00	有	有	有
801178.INDX	申万物流	申银万国指数-物流	2003-10-15	0000-00-00	有	有	有
801180.INDX	房地产	申银万国指数-房地产	2003-10-15	0000-00-00	有	有	有
801181.INDX	申万房地产开发	申银万国指数-房地产开发	2003-10-15	0000-00-00	有	有	有
801182.INDX	申万园区开发	申银万国指数-园区开发	2003-10-15	0000-00-00	有	有	有
801190.INDX	申万金融服务	申银万国指数-金融服务	2003-10-15	0000-00-00	NA	有	有
801191.INDX	申万多元金融	申银万国指数-多元金融	2003-10-15	0000-00-00	有	有	有
801192.INDX	申万银行	申银万国指数-银行	2003-10-15	0000-00-00	有	有	有
801193.INDX	申万证券	申银万国指数-证券	2003-10-15	0000-00-00	有	有	有
801194.INDX	申万保险	申银万国指数-保险	2003-10-15	0000-00-00	有	有	有
801200.INDX	商业贸易	申银万国指数-商业贸易	2003-10-15	0000-00-00	有	有	有
801201.INDX	申万零售	申银万国指数-零售	2003-10-15	0000-00-00	NA	有	有
801202.INDX	申万贸易	申银万国指数-贸易	2003-10-15	0000-00-00	有	有	有
801203.INDX	申万一般零售	申银万国指数-一般零售	2014-02-21	0000-00-00	有	有	有
801204.INDX	申万专业零售	申银万国指数-专业零售	2014-02-21	0000-00-00	有	有	有
801205.INDX	申万商业物业经营	申银万国指数-商业物业经营	2014-02-21	0000-00-00	有	有	有
801210.INDX	休闲服务	申银万国指数-休闲服务	2003-10-15	0000-00-00	有	有	有
801211.INDX	申万餐饮	申银万国指数-餐饮	2003-10-15	0000-00-00	有	有	有
801212.INDX	申万景点	申银万国指数-景点	2003-10-15	0000-00-00	有	有	有
801213.INDX	申万酒店	申银万国指数-酒店	2003-10-15	0000-00-00	有	有	有
801214.INDX	申万旅游综合	申银万国指数-旅游综合	2003-10-15	0000-00-00	有	有	有
801215.INDX	申万其他休闲服务	申银万国指数-其他休闲服务	2014-02-21	0000-00-00	有	有	有
801220.INDX	申万信息服务	申银万国指数-信息服务	2003-10-15	0000-00-00	NA	有	有
801221.INDX	申万传媒	申银万国指数-传媒	2003-10-15	0000-00-00	NA	有	有
801222.INDX	申万计算机应用	申银万国指数-计算机应用	2003-10-15	0000-00-00	有	有	有
801223.INDX	申万通信运营	申银万国指数-通信运营	2003-10-15	0000-00-00	有	有	有
801224.INDX	申万网络服务	申银万国指数-网络服务	2003-10-15	0000-00-00	NA	有	有
801230.INDX	综合	申银万国指数-综合	2003-10-15	0000-00-00	有	有	有
801231.INDX	申银万国综合	申银万国指数-综合	2003-10-15	0000-00-00	有	有	有
801250.INDX	申万制造	申银万国制造业指数	2011-08-22	0000-00-00	有	有	有
801260.INDX	申万消费	申银万国指数-消费	2011-08-22	0000-00-00	有	有	有
801270.INDX	申万投资	申银万国指数-申万投资	2011-08-22	0000-00-00	有	有	有
801280.INDX	申万服务	申银万国指数-申万服务	2011-08-22	0000-00-00	有	有	有
801710.INDX	建筑材料	申银万国指数-建筑材料	2014-02-21	0000-00-00	有	有	有
801711.INDX	申万水泥制造	申银万国指数-水泥制造	2014-02-21	0000-00-00	有	有	有
801712.INDX	申万玻璃制造	申银万国指数-玻璃制造	2014-02-21	0000-00-00	有	有	有
801713.INDX	申万其他建材	申银万国指数-其他建材	2014-02-21	0000-00-00	有	有	有
801720.INDX	建筑装饰	申银万国指数-建筑装饰	2014-02-21	0000-00-00	有	有	有
801721.INDX	申万房屋建设	申银万国指数-房屋建设	2014-02-21	0000-00-00	有	有	有
801722.INDX	申万装修装饰	申银万国指数-装修装饰	2014-02-21	0000-00-00	有	有	有
801723.INDX	申万基础建设	申银万国指数-基础建设	2014-02-21	0000-00-00	有	有	有
801724.INDX	申万专业工程	申银万国指数-专业工程	2014-02-21	0000-00-00	有	有	有
801725.INDX	申万园林工程	申银万国指数-园林工程	2014-02-21	0000-00-00	有	有	有
801730.INDX	电气设备	申银万国指数-电气设备	2014-02-21	0000-00-00	有	有	有
801731.INDX	申万电机	申银万国指数-电机	2014-02-21	0000-00-00	有	有	有
801732.INDX	申万电气自动化设备	申银万国指数-电气自动化设备	2014-02-21	0000-00-00	有	有	有
801733.INDX	申万电源设备	申银万国指数-电源设备	2014-02-21	0000-00-00	有	有	有
801734.INDX	申万高低压设备	申银万国指数-高低压设备	2014-02-21	0000-00-00	有	有	有
801740.INDX	国防军工	申银万国指数-国防军工	2014-02-21	0000-00-00	有	有	有
801741.INDX	申万航天装备	申银万国指数-航天装备	2014-02-21	0000-00-00	有	有	有
801742.INDX	申万航空装备	申银万国指数-航空装备	2014-02-21	0000-00-00	有	有	有
801743.INDX	申万地面兵装	申银万国指数-地面兵装	2014-02-21	0000-00-00	有	有	有
801744.INDX	申万船舶制造	申银万国指数-船舶制造	2014-02-21	0000-00-00	有	有	有
801750.INDX	计算机	申银万国指数-计算机	2014-02-21	0000-00-00	有	有	有
801751.INDX	申万营销传播	申银万国指数-营销传播	2014-02-21	0000-00-00	有	有	有
801752.INDX	申万互联网传媒	申银万国指数-互联网传媒	2014-02-21	0000-00-00	有	有	有
801760.INDX	传媒	申银万国指数-传媒	2014-02-21	0000-00-00	有	有	有
801761.INDX	申万文化传媒	申银万国指数-文化传媒	2014-02-21	0000-00-00	有	有	有
801770.INDX	通信	申银万国指数-通信	2014-02-21	0000-00-00	有	有	有
801780.INDX	银行	申银万国指数-银行	2014-02-21	0000-00-00	有	有	有
801790.INDX	非银金融	申银万国指数-非银金融	2014-02-21	0000-00-00	有	有	有
801880.INDX	汽车	申银万国指数-汽车	2014-02-21	0000-00-00	有	有	有
801881.INDX	申万其他交运设备	申银万国指数-其他交运设备	2014-02-21	0000-00-00	有	有	有
801890.INDX	机械设备	申银万国指数-机械设备	2014-02-21	0000-00-00	有	有	有
818DIVP.XSHG	中标红利	标普中国A股红利机会指数	2008-09-11	2008-09-11	NA	NA	NA
830001XF.INDX	富时A200	富时中国A200指数	2001-07-26	2001-07-26	NA	NA	NA
830002XF.INDX	富时A全	富时中国A全指	0000-00-00	0000-00-00	有	NA	NA
830009XF.INDX	富时A50	富时中国A50指数	0000-00-00	0000-00-00	有	NA	NA
850111.INDX	申万种子生产	申银万国指数-种子生产	2003-10-15	0000-00-00	有	有	有
850112.INDX	申万粮食种植	申银万国指数-粮食种植	2003-10-15	0000-00-00	有	有	有
850113.INDX	申万其他种植业	申银万国指数-其他种植业	2003-10-15	0000-00-00	有	有	有
850121.INDX	申万海洋捕捞	申银万国指数-海洋捕捞	2003-10-15	0000-00-00	有	有	有
850122.INDX	申万水产养殖	申银万国指数-水产养殖	2003-10-15	0000-00-00	有	有	有
850131.INDX	申万林业	申银万国指数-林业	2003-10-15	0000-00-00	有	有	有
850141.INDX	申万饲料	申银万国指数-饲料	2003-10-15	0000-00-00	有	有	有
850151.INDX	申万果蔬加工	申银万国指数-果蔬加工	2003-10-15	0000-00-00	有	有	有
850152.INDX	申万粮油加工	申银万国指数-粮油加工	2003-10-15	0000-00-00	有	有	有
850153.INDX	申银畜禽加工	申银万国指数-畜禽加工	2003-10-15	0000-00-00	NA	NA	有
850154.INDX	申万其他农产品加工	申银万国指数-其他农产品加工	2003-10-15	0000-00-00	有	有	有
850161.INDX	申万农业综合	申银万国指数-农业综合	2003-10-15	0000-00-00	有	有	有
850171.INDX	申万畜禽养殖	申银万国指数-畜禽养殖	2003-10-15	0000-00-00	有	有	有
850181.INDX	申万动物保健	申银万国指数-动物保健	2003-10-15	0000-00-00	有	有	有
850211.INDX	申万石油开采	申银万国指数-石油开采	2003-10-15	0000-00-00	有	有	有
850221.INDX	申万煤炭开采	申银万国指数-煤炭开采	2003-10-15	0000-00-00	有	有	有
850222.INDX	申万焦炭加工	申银万国指数-焦炭加工	2003-10-15	0000-00-00	有	有	有
850231.INDX	申万其他采掘	申银万国指数-其他采掘	2003-10-15	0000-00-00	有	有	有
850241.INDX	申万油气钻采服务	申银万国指数-油气钻采服务	2003-10-15	0000-00-00	有	有	有
850242.INDX	申万其他采掘服务	申银万国指数-其他采掘服务	2003-10-15	0000-00-00	有	有	有
850311.INDX	申万石油加工	申银万国指数-石油加工	2003-10-15	0000-00-00	有	有	有
850313.INDX	申万石油贸易	申银万国指数-石油贸易	2003-10-15	0000-00-00	有	有	有
850321.INDX	申万纯碱	申银万国指数-纯碱	2003-10-15	0000-00-00	有	有	有
850322.INDX	申万氯碱	申银万国指数-氯碱	2003-10-15	0000-00-00	有	有	有
850323.INDX	申万无机盐	申银万国指数-无机盐	2003-10-15	0000-00-00	有	有	有
850324.INDX	申万其他化学原料	申银万国指数-其他化学原料	2003-10-15	0000-00-00	有	有	有
850331.INDX	申万氮肥	申银万国指数-氮肥	2003-10-15	0000-00-00	有	有	有
850332.INDX	申万磷肥	申银万国指数-磷肥	2003-10-15	0000-00-00	有	有	有
850333.INDX	申万农药	申银万国指数-农药	2003-10-15	0000-00-00	有	有	有
850334.INDX	申万日用化学产品	申银万国指数-日用化学产品	2003-10-15	0000-00-00	有	有	有
850335.INDX	申万涂料油漆油墨制造	申银万国指数-涂料油漆油墨制造	2003-10-15	0000-00-00	有	有	有
850336.INDX	申万钾肥	申银万国指数-钾肥	2003-10-15	0000-00-00	有	有	有
850337.INDX	申万民爆用品	申银万国指数-民爆用品	2003-10-15	0000-00-00	有	有	有
850338.INDX	申万纺织化学用品	申银万国指数-纺织化学用品	2003-10-15	0000-00-00	有	有	有
850339.INDX	申万其他化学制品	申银万国指数-其他化学制品	2003-10-15	0000-00-00	有	有	有
850341.INDX	申万涤纶	申银万国指数-涤纶	2003-10-15	0000-00-00	有	有	有
850342.INDX	申万维纶	申银万国指数-维纶	2003-10-15	0000-00-00	有	有	有
850343.INDX	申万粘胶	申银万国指数-粘胶	2003-10-15	0000-00-00	有	有	有
850344.INDX	申万其他纤维	申银万国指数-其他纤维	2003-10-15	0000-00-00	有	有	有
850345.INDX	申万氨纶	申银万国指数-氨纶	2003-10-15	0000-00-00	有	有	有
850351.INDX	申万其他塑料制品	申银万国指数-其他塑料制品	2003-10-15	0000-00-00	有	有	有
850352.INDX	申万合成革	申银万国指数-合成革	2003-10-15	0000-00-00	有	有	有
850353.INDX	申万改性塑料	申银万国指数-改性塑料	2003-10-15	0000-00-00	有	有	有
850361.INDX	申万轮胎	申银万国指数-轮胎	2003-10-15	0000-00-00	有	有	有
850362.INDX	申万其他橡胶制品	申银万国指数-其他橡胶制品	2003-10-15	0000-00-00	有	有	有
850363.INDX	申万炭黑	申银万国指数-炭黑	2003-10-15	0000-00-00	有	有	有
850371.INDX	申万其他化工新材料	申银万国指数-其他化工新材料	2003-10-15	0000-00-00	NA	有	有
850372.INDX	申万聚氨酯	申银万国指数-聚氨酯	2003-10-15	0000-00-00	有	有	有
850373.INDX	申万玻纤	申银万国指数-玻纤	2003-10-15	0000-00-00	有	有	有
850381.INDX	申万复合肥	申银万国指数-复合肥	2003-10-15	0000-00-00	有	有	有
850382.INDX	申万氟化工及制冷剂	申银万国指数-氟化工及制冷剂	2003-10-15	0000-00-00	有	有	有
850383.INDX	申万磷化工及磷酸盐	申银万国指数-磷化工及磷酸盐	2003-10-15	0000-00-00	有	有	有
850411.INDX	申万普钢	申银万国指数-普钢	2003-10-15	0000-00-00	有	有	有
850412.INDX	申万特钢	申银万国指数-特钢	2003-10-15	0000-00-00	有	有	有
850421.INDX	申万金属制品	申银万国指数-金属制品	2003-10-15	0000-00-00	NA	NA	NA
850512.INDX	申万铝	申银万国指数-铝	2003-10-15	0000-00-00	NA	有	有
850513.INDX	申万铜	申银万国指数-铜	2003-10-15	0000-00-00	NA	有	有
850514.INDX	申万铅锌	申银万国指数-铅锌	2003-10-15	0000-00-00	NA	有	有
850515.INDX	申万黄金	申银万国指数-黄金	2003-10-15	0000-00-00	NA	有	有
850516.INDX	申万小金属	申银万国指数-小金属	2003-10-15	0000-00-00	NA	有	有
850521.INDX	申万金属新材料	申银万国指数-金属新材料	2003-10-15	0000-00-00	有	有	有
850522.INDX	申万磁性材料	申银万国指数-磁性材料	2003-10-15	0000-00-00	有	有	有
850523.INDX	申万非金属新材料	申银万国指数-非金属新材料	2003-10-15	0000-00-00	有	有	有
850531.INDX	申万黄金	申银万国指数-黄金	2014-02-21	0000-00-00	有	有	有
850541.INDX	申万稀土	申银万国指数-稀土	2014-02-21	0000-00-00	有	有	有
850542.INDX	申万钨	申银万国指数-钨	2014-02-21	0000-00-00	有	有	有
850543.INDX	申万锂	申银万国指数-锂	2014-02-21	0000-00-00	有	有	有
850544.INDX	申万其他稀有小金属	申银万国指数-其他稀有小金属	2014-02-21	0000-00-00	有	有	有
850551.INDX	申万铝	申银万国指数-铝	2014-02-21	0000-00-00	有	有	有
850552.INDX	申万铜	申银万国指数-铜	2014-02-21	0000-00-00	有	有	有
850553.INDX	申万铅锌	申银万国指数-铅锌	2014-02-21	0000-00-00	有	有	有
850611.INDX	申万玻璃制造	申银万国指数-玻璃制造	2003-10-15	0000-00-00	有	有	有
850612.INDX	申万水泥制造	申银万国指数-水泥制造	2003-10-15	0000-00-00	有	有	有
850613.INDX	申万陶瓷制造	申银万国指数-陶瓷制造	2003-10-15	0000-00-00	NA	有	有
850614.INDX	申万其他建材	申银万国指数-其他建材	2003-10-15	0000-00-00	有	有	有
850615.INDX	申万耐火材料	申银万国指数-耐火材料	2003-10-15	0000-00-00	有	有	有
850616.INDX	申万管材	申银万国指数-管材	2003-10-15	0000-00-00	有	有	有
850622.INDX	申万装饰园林	申银万国指数-装饰园林	2003-10-15	0000-00-00	NA	有	有
850623.INDX	申万房屋建设	申银万国指数-房屋建设	2003-10-15	0000-00-00	有	有	有
850624.INDX	申万基础建设	申银万国指数-基础建设	2003-10-15	0000-00-00	NA	有	有
850625.INDX	申万专业工程	申银万国指数-专业工程	2003-10-15	0000-00-00	NA	有	有
850711.INDX	申万机床工具	申银万国指数-机床工具	2003-10-15	0000-00-00	有	有	有
850712.INDX	申万机械基础件	申银万国指数-机械基础件	2003-10-15	0000-00-00	有	有	有
850713.INDX	申万磨具磨料	申银万国指数-磨具磨料	2003-10-15	0000-00-00	有	有	有
850714.INDX	申万内燃机	申银万国指数-内燃机	2003-10-15	0000-00-00	有	有	有
850715.INDX	申万制冷空调设备	申银万国指数-制冷空调设备	2003-10-15	0000-00-00	有	有	有
850716.INDX	申万其它通用机械	申银万国指数-其它通用机械	2003-10-15	0000-00-00	有	有	有
850721.INDX	申万纺织服装设备	申银万国指数-纺织服装设备	2003-10-15	0000-00-00	有	有	有
850722.INDX	申万工程机械	申银万国指数-工程机械	2003-10-15	0000-00-00	有	有	有
850723.INDX	申万农用机械	申银万国指数-农用机械	2003-10-15	0000-00-00	有	有	有
850724.INDX	申万重型机械	申银万国指数-重型机械	2003-10-15	0000-00-00	有	有	有
850725.INDX	申万冶金矿采化工设备	申银万国指数-冶金矿采化工设备	2003-10-15	0000-00-00	有	有	有
850726.INDX	申万印刷包装机械	申银万国指数-印刷包装机械	2003-10-15	0000-00-00	有	有	有
850727.INDX	申万其它专用机械	申银万国指数-其它专用机械	2003-10-15	0000-00-00	有	有	有
850728.INDX	申万楼宇设备	申银万国指数-楼宇设备	2003-10-15	0000-00-00	有	有	有
850729.INDX	申万环保设备	申银万国指数-环保设备	2003-10-15	0000-00-00	有	有	有
850731.INDX	申万仪器仪表	申银万国指数-仪器仪表	2003-10-15	0000-00-00	有	有	有
850741.INDX	申万电机	申银万国指数-电机	2003-10-15	0000-00-00	有	有	有
850742.INDX	申万电气自控设备	申银万国指数-电气自控设备	2003-10-15	0000-00-00	NA	有	有
850743.INDX	申万电源设备	申银万国指数-电源设备	2003-10-15	0000-00-00	NA	有	有
850744.INDX	申万输变电设备	申银万国指数-输变电设备	2003-10-15	0000-00-00	NA	有	有
850745.INDX	申万其他电力设备	申银万国指数-其他电力设备	2003-10-15	0000-00-00	NA	有	有
